0	3.33333
0	2.38095
0	1.85185
0	1.51515
0.020679	1.28205
0.0478395	1.11111
0.075	0.980392
0.0905864	0.877193
0.100772	0.793651
0.112191	0.724638
0.120833	0.666667
0.130401	0.617284
0.138426	0.574713
0.154938	0.537634
0.168364	0.505051
0.182562	0.47619
0.194907	0.45045
0.204938	0.42735
0.214506	0.406504
0.228549	0.387597
0.237809	0.37037
0.25	0.35461
0.259414	0.340136
0.272068	0.326797
0.282407	0.314465
0.288272	0.30303
0.292593	0.292398
0.293981	0.282486
0.299074	0.273224
0.304475	0.26455
0.309105	0.25641
0.312654	0.248756
0.317901	0.241546
